timestamp,value
2022-01-02,22694.4785255
2022-01-09,50188.6848765
2022-01-16,78213.4855425
2022-01-23,104166.63674725
2022-01-30,105438.2001515
2022-02-06,103505.50256875
2022-02-13,99039.000293
2022-02-20,95144.8966885
2022-02-27,94107.2093775
2022-03-06,99389.063873
2022-03-13,100893.662539
2022-03-20,102942.78047775
2022-03-27,103117.875643
2022-04-03,92240.72683425
2022-04-10,90069.31597275
2022-04-17,90045.0600425
2022-04-24,94341.39645175
2022-05-01,101400.186628
2022-05-08,102790.447491
2022-05-15,103378.5972245
2022-05-22,98439.93447000001
2022-05-29,93908.9364045
2022-06-05,93215.33767400001
2022-06-12,92055.910136
2022-06-19,93904.5664325
2022-06-26,96922.27304975
2022-07-03,100579.05985325
2022-07-10,101252.8021035
2022-07-17,100691.7734685
2022-07-24,100185.833761
2022-07-31,101882.042847
2022-08-07,104488.628592
2022-08-14,105000.04292574999
2022-08-21,102900.46322125
2022-08-28,97515.1619565
2022-09-04,94881.84273599999
2022-09-11,102594.34329425
2022-09-18,112145.63123075
2022-09-25,114734.33988025
2022-10-02,119679.2694555
2022-10-09,115798.2573465
2022-10-16,112449.4725805
2022-10-23,112463.7652675
2022-10-30,112438.15855225
2022-11-06,115705.88216075
2022-11-13,114278.17954575
2022-11-20,118166.0060115
2022-11-27,115922.98138875
2022-12-04,111457.941176
2022-12-11,112092.54379675
2022-12-18,111907.21788275
2022-12-25,114900.11219125
2023-01-01,116682.89316949999
2023-01-08,114139.910798
2023-01-15,110890.70983325
2023-01-22,108630.21416275
2023-01-29,105370.82961275
2023-02-05,106082.69306075
2023-02-12,105413.441638
2023-02-19,104067.8724075
2023-02-26,102096.329965
2023-03-05,101710.50850925
2023-03-12,98573.92609775
2023-03-19,93339.845797
2023-03-26,99002.66172
2023-04-02,103335.4524005
2023-04-09,104491.10171775
2023-04-16,105529.1294895
2023-04-23,97402.2840055
2023-04-30,87364.0056835
2023-05-07,86117.39091875
2023-05-14,86898.386899
2023-05-21,88710.07970824999
2023-05-28,92796.18725325
2023-06-04,96085.60965625
2023-06-11,96168.25888975
2023-06-18,95004.40021275
2023-06-25,95458.14785125
2023-07-02,92116.999117
2023-07-09,91499.487292
2023-07-16,91950.2150065
2023-07-23,88896.98780275
2023-07-30,95473.6490965
2023-08-06,101874.4163965
2023-08-13,106760.33512325
2023-08-20,114457.273272
2023-08-27,117642.35501625
2023-09-03,121534.38859525
2023-09-10,121818.84731025
2023-09-17,121570.1479445
2023-09-24,116505.377937
2023-10-01,114565.29045625
2023-10-08,117725.22532725
2023-10-15,115710.081902
2023-10-22,116983.11326499999
2023-10-29,114633.10094325
2023-11-05,112984.9799835
2023-11-12,114614.30195325
2023-11-19,111629.718698
2023-11-26,109054.88563325
2023-12-03,106941.1974735
2023-12-10,104886.29834775
2023-12-17,106799.77026125
2023-12-24,106019.4949955
2023-12-31,104015.56316774999
2024-01-07,101737.778468
2024-01-14,95560.89453975
2024-01-21,92806.8343645
2024-01-28,88416.0262125
2024-02-04,86960.5621085
2024-02-11,87137.3028305
2024-02-18,87549.5909945
2024-02-25,89953.705498
2024-03-03,88278.61008849999
2024-03-10,89123.32956125
2024-03-17,87541.45754025
2024-03-24,85932.27060875
2024-03-31,84271.71917575
2024-04-07,83833.85893125
2024-04-14,88940.88945025
2024-04-21,92341.7535355
2024-04-28,96703.51868425001
2024-05-05,99185.0929865
2024-05-12,96236.4901605
2024-05-19,95884.2121165
2024-05-26,97908.8353615
2024-06-02,98872.75856049999
2024-06-09,100285.1087895
2024-06-16,99704.66730575
2024-06-23,95863.3821575
2024-06-30,94347.02730675001
2024-07-07,92084.64657775001
2024-07-14,93451.860807
2024-07-21,96984.3480375
2024-07-28,96322.6081055
2024-08-04,97351.53925825
2024-08-11,96141.38687075
2024-08-18,90464.51555225
2024-08-25,89317.87147449999
2024-09-01,88713.63390375
2024-09-08,92631.910902
2024-09-15,72412.77228275
2024-09-22,50322.78630575001
2024-09-29,27592.8977335
